At time 0, Job1 arrives.
At time 20, Job2 arrives.
At time 20, Job1 finishes at CPU.
At time 33, Job3 arrives.
At time 43, Job2 finishes at CPU.
At time 49, Job1 arrives at Disk.
At time 61, Job4 arrives.
At time 61, Job1 finished I/O at Disk 2.
At time 70, Job2 arrives at Disk.
At time 76, Job3 finishes at CPU.
At time 77, Job1 arrives.
At time 84, Job5 arrives.
At time 87, Job2 finished I/O at Disk 2.
At time 87, Job4 finishes at CPU.
At time 87, Job4 exits.
At time 91, Job6 arrives.
At time 98, Job2 arrives.
At time 105, Job7 arrives.
At time 105, Job1 finishes at CPU.
At time 105, Job1 exits.
At time 110, Job9 arrives.
At time 115, Job3 arrives at Disk.
At time 117, Job10 arrives.
At time 125, Job3 finished I/O at Disk 2.
At time 129, Job8 arrives.
At time 130, Job5 finishes at CPU.
At time 132, Job12 arrives.
At time 134, Job11 arrives.
At time 140, Job5 arrives at Disk.
At time 144, Job6 finishes at CPU.
At time 146, Job14 arrives.
At time 148, Job3 arrives.
At time 159, Job16 arrives.
At time 161, Job15 arrives.
At time 166, Job13 arrives.
At time 166, Job2 finishes at CPU.
At time 168, Job5 finished I/O at Disk 2.
At time 170, Job6 arrives at Disk.
At time 170, Job18 arrives.
At time 178, Job17 arrives.
At time 178, Job2 arrives at Disk.
At time 186, Job7 finishes at CPU.
At time 188, Job6 finished I/O at Disk 2.
At time 188, Job22 arrives.
At time 193, Job19 arrives.
At time 198, Job2 finished I/O at Disk 2.
At time 200, Job20 arrives.
At time 201, Job21 arrives.
At time 202, Job5 arrives.
At time 202, Job23 arrives.
At time 204, Job9 finishes at CPU.
At time 204, Job9 exits.
At time 212, Job25 arrives.
At time 217, Job7 arrives at Disk.
At time 221, Job24 arrives.
At time 222, Job6 arrives.
At time 226, Job10 finishes at CPU.
At time 230, Job28 arrives.
At time 231, Job26 arrives.
At time 232, Job2 arrives.
At time 236, Job7 finished I/O at Disk 2.
At time 236, Job10 arrives at Disk.
At time 237, Job27 arrives.
At time 239, Job30 arrives.
At time 241, Job8 finishes at CPU.
At time 242, Job34 arrives.
At time 243, Job33 arrives.
At time 244, Job29 arrives.
At time 247, Job31 arrives.
At time 247, Job32 arrives.
At time 255, Job39 arrives.
At time 258, Job36 arrives.
At time 259, Job40 arrives.
At time 260, Job12 finishes at CPU.
At time 262, Job37 arrives.
At time 265, Job7 arrives.
At time 266, Job35 arrives.
At time 269, Job38 arrives.
At time 275, Job41 arrives.
At time 276, Job45 arrives.
At time 279, Job8 arrives at Disk.
At time 280, Job11 finishes at CPU.
At time 283, Job42 arrives.
At time 286, Job46 arrives.
At time 288, Job44 arrives.
At time 289, Job12 arrives at Disk.
At time 289, Job49 arrives.
At time 292, Job8 finished I/O at Disk 2.
At time 293, Job47 arrives.
At time 294, Job48 arrives.
At time 295, Job43 arrives.
At time 295, Job51 arrives.
At time 298, Job53 arrives.
At time 303, Job14 finishes at CPU.
At time 312, Job50 arrives.
At time 312, Job54 arrives.
At time 313, Job14 arrives at Disk.
At time 316, Job11 arrives at Disk.
At time 319, Job58 arrives.
At time 322, Job52 arrives.
At time 322, Job55 arrives.
At time 324, Job56 arrives.
At time 325, Job3 finishes at CPU.
At time 329, Job8 arrives.
At time 331, Job62 arrives.
At time 332, Job57 arrives.
At time 337, Job59 arrives.
At time 338, Job61 arrives.
At time 340, Job64 arrives.
At time 340, Job65 arrives.
At time 341, Job12 finished I/O at Disk 2.
At time 349, Job16 finishes at CPU.
At time 349, Job16 exits.
At time 352, Job60 arrives.
At time 352, Job3 arrives at Disk.
At time 353, Job63 arrives.
At time 359, Job68 arrives.
At time 362, Job67 arrives.
At time 362, Job71 arrives.
At time 363, Job66 arrives.
At time 363, Job12 arrives.
At time 364, Job70 arrives.
At time 365, Job69 arrives.
At time 365, Job11 finished I/O at Disk 2.
At time 368, Job72 arrives.
At time 370, Job74 arrives.
At time 371, Job15 finishes at CPU.
At time 381, Job73 arrives.
At time 381, Job82 arrives.
At time 383, Job81 arrives.
At time 384, Job75 arrives.
At time 384, Job78 arrives.
At time 387, Job15 arrives at Disk.
At time 389, Job11 arrives.
At time 392, Job79 arrives.
At time 394, Job77 arrives.
At time 394, Job80 arrives.
At time 397, Job88 arrives.
At time 399, Job76 arrives.
At time 399, Job13 finishes at CPU.
At time 401, Job85 arrives.
At time 404, Job83 arrives.
At time 405, Job84 arrives.
At time 407, Job92 arrives.
At time 410, Job3 finished I/O at Disk 2.
At time 411, Job95 arrives.
At time 412, Job13 arrives at Disk.
At time 413, Job18 finishes at CPU.
At time 414, Job86 arrives.
At time 418, Job96 arrives.
At time 419, Job89 arrives.
At time 420, Job90 arrives.
At time 423, Job87 arrives.
At time 423, Job94 arrives.
At time 423, Job97 arrives.
At time 431, Job91 arrives.
At time 431, Job102 arrives.
At time 432, Job17 finishes at CPU.
At time 433, Job100 arrives.
At time 435, Job93 arrives.
At time 435, Job15 finished I/O at Disk 2.
At time 435, Job103 arrives.
At time 437, Job98 arrives.
At time 438, Job18 arrives at Disk.
At time 443, Job107 arrives.
At time 443, Job108 arrives.
At time 445, Job22 finishes at CPU.
At time 446, Job101 arrives.
At time 447, Job105 arrives.
At time 447, Job17 arrives at Disk.
